state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
9,15,9.15E+14,0.3,8.06905,7.62,25.4,2.049539,34,1,12,141.86
9,16,9.16E+14,0.27,8.399796,7.46,27.90833,2.35254,33,0.5,12,141.915
9,17,9.17E+14,0.2733333,11.87363,6.986667,25.76349,2.95853,30.33333,0,12.66667,141.88
9,18,9.18E+14,0.54,20.49313,8.93,16.53704,3.388956,32,0,30,141.73
9,19,9.19E+14,0.49,9.693545,10.03,20.46939,1.984209,21,0,6,141.89
9,20,9.2E+14,0.52,10.80993,7.04,13.53846,1.463499,20,0,3,139.92
9,21,9.21E+14,0.53,17.72421,7.79,14.69811,2.605125,7,0,5,141.98
9,22,9.22E+14,0.59,16.50814,8.795,14.88752,2.455349,17.5,0,4,141.495
9,23,9.23E+14,0.77,11.6447,13.95,18.11688,2.109657,41,1,11,141.26
9,24,9.24E+14,1.13,15.81182,26.5,23.45133,3.708083,46,0,15,141.97
9,25,9.25E+14,0.83,12.99663,18.98,22.86747,2.972001,40,0,12,141.98
9,26,9.26E+14,0.69,14.04992,16.65,24.13043,3.390307,38,0,18,141.79
9,27,9.27E+14,0.31,10.9466,7.3,23.54839,2.577747,70,0,17,141.07
9,28,9.28E+14,0.82,14.49337,17.03,20.76829,3.010025,38,0,26,140.31
9,29,9.29E+14,0.31,12.80362,7.17,23.12903,2.961354,18,0,3,141.95
9,30,9.3E+14,0.32,13.69007,6.31,19.71875,2.699512,33,0,2,141.85
9,31,9.31E+14,0.25,11.70697,6.26,25.04,2.931425,45,0,9,141.05
9,32,9.32E+14,0.31,15.03657,7.08,22.83871,3.434159,51,1,9,141.27
9,33,9.33E+14,0.35,11.71223,7.6,21.71428,2.543226,40,1,13,141.98
9,34,9.34E+14,0.34,11.58922,7.52,22.11765,2.563263,45,2,13,140.33
9,35,9.35E+14,0.52,24.01071,12.5,24.03846,5.771806,30,1,31,141.83
9,36,9.36E+14,0.32,14.82559,9.73,30.40625,4.507906,38,1,40,141.98
9,37,9.37E+14,0.39,20.57581,8.74,22.41026,4.611091,23,11,32,141.72
9,38,9.38E+14,0.275,18.11419,6.785,24.69551,4.470514,26,0,36,141.65
9,39,9.39E+14,0.16,12.83306,3.96,24.75,3.176182,27,0,36,141.88
9,40,9.4E+14,0.35,17.31621,8.315001,23.85417,4.147718,41.5,0,39.5,139.51
