state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
9,62,962000000000000,0.6,23.65511,16.97,28.28333,6.690453,28,0,25,123.29
9,63,963000000000000,0.575,18.14672,17.415,30.37803,5.397232,21,0.5,22.5,123.145
9,64,964000000000000,0.91,14.83912,32.28,35.47253,5.26381,43,1,22,123.58
9,65,965000000000000,0.85,16.82852,23.22,27.31765,4.597155,27,0,24,124.81
9,66,966000000000000,0.65,25.08403,17.66,27.16923,6.815138,34,1,21,125
9,67,967000000000000,0.56,18.24235,17.02,30.39286,5.544372,40,0,31,123.88
9,68,968000000000000,0.44,23.18902,14.39,32.70455,7.583863,47,0,34,124.96
9,69,969000000000000,0.83,27.77758,23.09,27.8192,7.727553,41,15.5,37.5,123.4
9,70,970000000000000,0.89,32.86291,24.76,27.82022,9.142536,34,30,39,122.38
10,1,1001000000000000,0.75,11.7674,46.88,62.50667,7.35541,18,4,23,143.32
10,2,1002000000000000,1.05,11.54262,75.98,72.36191,8.352462,19,0,28,142.39
10,3,1003000000000000,0.25,17.3267,14.59,58.36,10.11186,24,0,41,143.96
10,4,1004000000000000,0.36,5.148197,15.75,43.75,2.252336,20,0,38,143.54
10,5,1005000000000000,0.69,7.944513,24.05,34.85507,2.769066,28,1,38,143.98
10,6,1006000000000000,0.53,12.542,17.53,33.07547,4.148327,26,1,33,143.48
10,7,1007000000000000,0.72,13.44887,24.6,34.16666,4.59503,15,1,26,143.9
10,8,1008000000000000,0.32,10.44056,13.81,43.15625,4.505754,13,4,28,143.95
10,9,1009000000000000,0.89,15.30885,34.99,39.31461,6.018615,21,3,28,143.94
10,10,1010000000000000,0.77,13.61598,28.99,37.64935,5.126328,12,6,32,143.97
10,11,1011000000000000,0.45,11.72315,18.82,41.82222,4.90288,34,1,37,144.03
10,12,1012000000000000,0.47,13.81877,19.86,42.25532,5.839167,26,1,38,143.89
10,13,1013000000000000,0.87,11.93252,32,36.78161,4.388973,23,0,43,143.6
10,14,1014000000000000,1.02,11.90014,48.21,47.26471,5.624565,20,1,32,143.74
10,15,1015000000000000,0.39,10.06657,20.74,53.17949,5.353349,22,4,32,143.83
10,16,1016000000000000,0.55,10.84695,20.36,37.01818,4.015344,21,4,22,142.83
10,17,1017000000000000,0.65,11.29994,30.47,46.87692,5.297067,21,1,19,143.87
10,18,1018000000000000,0.49,8.33607,25.25,51.53061,4.295628,32,1,31,143.69
10,19,1019000000000000,0.52,6.44041,17.61,33.86539,2.18107,33,1,35,143.74
10,20,1020000000000000,0.44,9.119322,19.54,44.40909,4.049809,28,0,52,143.43
10,21,1021000000000000,0.25,7.994449,8.65,34.6,2.766079,36,0,42,143.92
10,22,1022000000000000,0.68,14.83395,29.07,42.75,6.341512,13,3,26,143.95
10,23,1023000000000000,0.5,13.58707,20.94,41.88,5.690264,17,10,32,143.83
10,24,1024000000000000,0.2,10.40794,7.78,38.9,4.048688,21,6,30,143.71
10,25,1025000000000000,0.3,21.5443,13.5,45,9.694933,27,2,36,143.33
10,26,1026000000000000,0.19,22.9178,9.07,47.73684,10.94023,39,0,38,143.64
10,27,1027000000000000,0.48,11.94687,24.24,50.5,6.033167,34,0,35,144.35
10,28,1028000000000000,0.44,8.056335,21.93,49.84091,4.015351,24,1,35,143.9
10,29,1029000000000000,0.42,11.77595,18.75,44.64286,5.257123,29,1,22,143.97
10,30,1030000000000000,0.41,17.43368,17.22,42,7.322145,23,1,8,143.2
10,31,1031000000000000,0.555,17.16368,20.69,37.92567,6.474701,37,3.5,16.5,143.845
10,32,1032000000000000,0.74,18.95521,26.63,35.98648,6.821314,35,2,15,143.84
10,33,1033000000000000,0.195,13.90775,8.065,38.89815,5.600245,35,0.5,39,143.57
10,34,1034000000000000,0.66,18.58966,31.65,47.95454,8.914589,46,1,22,143.94
10,35,1035000000000000,1.36,22.71274,70.39,51.75735,11.75551,41,1,33,143.93
10,36,1036000000000000,0.54,17.71055,20.43,37.83333,6.700492,34,0,39,144.01
10,37,1037000000000000,0.53,18.78067,24.83,46.84906,8.798569,29,9,36,143.93
11,1,1101000000000000,0.06,76.73615,5.49,91.5,70.21358,1,94,29,129.46
11,2,1102000000000000,0.21,78.09595,13.04,62.09524,48.49386,4,39,42,123.96
11,3,1103000000000000,0.16,62.24954,10.49,65.5625,40.81236,6,26,48,123.99
11,4,1104000000000000,0.13,39.54252,7.29,56.07692,22.17423,5,23,51,124.29
12,1,1201000000000000,0.06,71.62469,1.03,17.16667,12.29557,0,100,53,124
12,2,1202000000000000,0.08,56.86261,2.66,33.25,18.90682,0,100,35,123.68
12,3,1203000000000000,0.05,45.87998,0.37,7.4,3.395118,0,99,25,123.86
12,4,1204000000000000,0.1,70.20007,1.71,17.1,12.00421,0,99,30,124
12,5,1205000000000000,0.13,93.98518,3.576667,27.54112,25.87694,0,97,30,124
12,6,1206000000000000,0.15,113.3701,3.86,25.73333,29.17391,0,100,31,123.99
12,7,1207000000000000,0.07,44.38527,1.5,21.42857,9.511128,0,99,37,123.67
12,8,1208000000000000,0.04,30.96454,0.58,14.5,4.489859,0,99,38,124
12,9,1209000000000000,0,0,0,,0,0,0,0,0
12,10,1210000000000000,0.03,33.39642,0.655,21.66667,7.611547,0,93.5,23.5,124
12,11,1211000000000000,0.055,60.69955,2.815,47.39286,24.64164,0,68,30.5,124.095
12,12,1212000000000000,0.1,40.2285,4.08,40.8,16.41323,0,79,20,124
12,13,1213000000000000,0.04,25.03442,0.54,13.5,3.379647,0,100,19,123.78
13,1,1301000000000000,0.37,103.2885,21.21,57.32432,59.20942,0,100,31,124
13,2,1302000000000000,0.29,167.5824,15.8375,55.78988,93.93143,0,90.25,23.75,124
13,3,1303000000000000,0.33,110.1469,23.94,72.54546,79.90655,0,100,26,124
13,4,1304000000000000,0.33,143.391,27.17,82.33333,118.0586,0,77,17,124
13,5,1305000000000000,0.27,105.3946,17.33,64.18518,67.64775,0,98,32,124
13,6,1306000000000000,0.4733333,174.8047,34.09666,76.70776,130.6152,1.666667,96.66666,26.33333,123.9467
13,7,1307000000000000,0.39,174.5478,25.47,74.94444,125.59,0,100,27.5,123.92
13,8,1308000000000000,0.32,101.3235,15.57,48.65625,49.30023,0,89,27,124
14,1,1401000000000000,0.77,222.7816,47.91,62.22078,138.6164,0,95,27,143.95
14,2,1402000000000000,0.26,120.6049,22.54,86.69231,104.5552,0,90,26,143.94
14,3,1403000000000000,0.58,126.6735,51.41,88.63793,112.2808,0,98,28,143.92
14,4,1404000000000000,0.36,123.1317,13.1,36.38889,44.80624,13,1,29,143.73
14,5,1405000000000000,0.54,113.2294,26.57,48.92673,54.9317,3,1,46.5,143.985
14,6,1406000000000000,0.51,122.6109,22.41,43.94118,53.87667,4,1,51,143.98
14,7,1407000000000000,0.72,132.2484,23.78,33.02778,43.67871,3,2,46,143.87
14,8,1408000000000000,0.44,144.4138,39.1,88.86363,128.3314,0,99,33,143.98
14,9,1409000000000000,0.34,132.9683,26.54,78.05882,103.7935,0,86,34,144.45
15,1,1501000000000000,0.19,130.683,14.93,78.57895,102.6893,0,100,33,136
15,2,1502000000000000,0.16,210.3049,15.34,95.875,201.6299,0,100,27,136.45
15,3,1503000000000000,0.26,150.0462,24.5,94.23077,141.3897,0,100,19,136
15,4,1504000000000000,0.21,201.1702,19.3,90.75,181.8704,0,100,29.5,136
15,5,1505000000000000,0.14,221.1341,12.22,87.28571,193.0185,0,100,28,136
15,6,1506000000000000,0.34,179.4858,29.46,86.64706,155.5192,0,100,30,136
15,7,1507000000000000,0.27,141.554,19.2,71.11111,100.6606,0,100,10,136
15,8,1508000000000000,0.2,170.211,15.365,79.90171,138.5206,0,99,18,136
16,1,1601000000000000,1.03,42.50507,82.93,80.51456,34.22277,21,38,39,123.91
16,2,1602000000000000,0.8,45.39522,69.14,86.425,39.23282,15,38,40,123.95
16,3,1603000000000000,0.74,99.45702,68.61,92.71622,92.21278,15,66,41,123.93
16,4,1604000000000000,0.63,50.96098,49.04,77.84127,39.66867,17,37,36,123.94
17,1,1701000000000000,0.5633333,83.03594,33.99333,53.96459,50.4951,0.6666667,92.33334,32.66667,127.9767
17,2,1702000000000000,0.52,102.7973,46.59,89.59616,92.1024,0,99,31,128
17,3,1703000000000000,0.11,49.60318,2.46,22.36364,11.09307,0,98,32,128
17,4,1704000000000000,0.36,62.37006,15.78,43.83333,27.33888,0,100,54,127.93
17,5,1705000000000000,0.32,75.45034,13.3,41.5625,31.35905,0,97,45,127
17,6,1706000000000000,0.57,65.52854,24.94,43.75439,28.67161,0,99,59,126.37
17,7,1707000000000000,0.34,55.65924,10.34,30.41176,16.92696,0,97,56,127.56
18,1,1801000000000000,0.4666667,27.4337,14.68333,29.89222,8.805641,3.666667,31.33333,35.66667,135.9467
18,2,1802000000000000,0.55,24.45103,18.25,32.255,9.005752,1.5,23,33.5,135.93
18,3,1803000000000000,0.63,37.05817,12.95,20.55556,7.617513,5,26,34,135.98
18,4,1804000000000000,0.32,30.28918,7.49,23.5098,7.172453,6.5,24.5,37.5,135.79
18,5,1805000000000000,0.4833333,29.90666,16.35,29.55605,9.744981,6.666667,31.33333,35,135.93
18,6,1806000000000000,0.4333333,25.07855,15.11667,28.86918,8.401756,10.33333,26.33333,31.33333,135.37
18,7,1807000000000000,0.555,31.11145,20.465,32.91488,11.29674,7,23,23.5,135.985
18,8,1808000000000000,0.5166667,28.89268,17.26667,30.11947,9.521714,6.666667,28.66667,24,135.96
18,9,1809000000000000,0.84,49.86791,29.21,34.77381,17.34097,10,14,14,135.98
18,10,1810000000000000,0.95,19.77523,31.01,32.64211,6.455051,8,4,15,136
18,11,1811000000000000,0.77,28.80192,15.705,21.7152,6.162939,6.5,25.5,27,135.96
18,12,1812000000000000,0.32,17.46801,8.97,28.03125,4.896502,4,28,23,135.94
18,13,1813000000000000,0.45,37.61347,13.45,29.88889,11.24225,2,27,32,135.8
18,14,1814000000000000,0.35,16.61074,7.18,20.51429,3.407575,1,8,24,136
18,15,1815000000000000,0.6,26.97672,11.77,19.61667,5.291933,3,10,29,135.91
18,16,1816000000000000,0.65,29.26135,18.46,28.4,8.310224,3,4,24,135.99
18,17,1817000000000000,0.41,22.20513,8.18,19.95122,4.430195,7,16,16,136.01
18,18,1818000000000000,0.26,12.69159,3.9,15,1.903739,5,10,23,135.99
18,19,1819000000000000,0.73,47.41584,8.08,11.06849,5.248219,4,76,32,135.97
18,20,1820000000000000,0.08,27.31401,1.16,14.5,3.960531,2,89,33,135.35
18,21,1821000000000000,0.38,12.22848,7.62,20.05263,2.452132,9,1,15,135.97
18,22,1822000000000000,0.12,5.343712,1.89,15.75,0.8416346,16,1,11,134.67
18,23,1823000000000000,0.38,28.55189,5.98,15.73684,4.493166,9,2,18,135.97
19,1,1901000000000000,1.1,46.47351,67.18,61.07273,28.38264,6,32,44,135.97
19,2,1902000000000000,4.14,66.23841,107.57,25.98309,17.21079,32,18,41,135.98
19,3,1903000000000000,2.47,41.44107,42.26,17.10931,7.090282,58,1,25,140.91
19,4,1904000000000000,0.79,14.83894,15.01,19,2.819399,32,3,36,159.54
19,5,1905000000000000,0.9,22.30608,22.44,24.28713,5.812304,29,11,33.5,149.935
